Train 7 days 
      20160903_000054.932  to  20160909_235954.932

Correlations 32 days
FS1.  20160910_000054.932  to  20160912_130454.932
FS2.  20160912_132743.376  to  20160917_163743.376
FS3.  20160917_165043.496  to  20160918_180243.496
FS4.  20160918_184200.848  to  20161004_111700.848
FS5.  20161004_114343.908  to  20161004_160343.908
FS6.  20161004_171539.222  to  20161006_195839.222
FS7.  20161006_200839.222  to  20161006-141539.222
FS8.  20161006_175019.350  to  20161007_142819.350
FS9.  20161007_144819.511  to  20161008_142319.511
FS10. 20161008_144119.792  to  20161009_141919.792
FS11. 20161009_143620.034  to  20161010_235920.034
